티커,종가,시가총액,거래량,거래대금,상장주식수,date
023410,3740,289142627620,90338,338848015,77310863,20230131
104480,3180,289047480120,349896,1114189735,90895434,20230131
079370,27700,287636800000,136363,3745559950,10384000,20230131
078020,5180,287392564200,23857,123209810,55481190,20230131
054620,14060,286742747260,68651,959095800,20394221,20230131
052710,29200,284507455200,53808,1559603400,9743406,20230131
088800,6320,283932781360,478776,3053073950,44926073,20230131
217330,15840,283038433920,10461,165861530,17868588,20230131
059090,8440,282037606320,112233,950581800,33416778,20230131
206640,12000,281838720000,138669,1649708940,23486560,20230131
263720,22900,281100041900,162587,3724308550,12275111,20230131
166480,8510,279726899760,45374,386245360,32870376,20230131
216080,15690,279490033710,61676,968069620,17813259,20230131
377030,14260,279080777320,554368,7922337410,19570882,20230131
182360,20150,278164443050,184863,3754858710,13804687,20230131
100130,4860,277714980000,152075,735088835,57143000,20230131
366030,12440,276959184000,556391,6949869640,22263600,20230131
101360,26000,275824536000,71285,1857985800,10608636,20230131
030530,3565,275353402265,155578,556846805,77237981,20230131
122450,6050,274282582200,15651,94146230,45335964,20230131
200670,27300,274249957800,53111,1433918750,10045786,20230131
246710,12900,273407992200,73059,944320410,21194418,20230131
089970,11330,271700141350,34558,392812200,23980595,20230131
035890,1179,270944170803,301400,356493089,229808457,20230131
360070,33900,270669227700,236385,8016764250,7984343,20230131
078130,2120,270549042760,706528,1506052660,127617473,20230131
084110,21400,270099928800,20164,435026550,12621492,20230131
232140,3285,269518974750,73846,241444465,82045350,20230131
031330,2695,269486705565,360684,970848070,99995067,20230131
040300,6400,268800000000,506429,3277794580,42000000,20230131
317330,14500,266472706000,32180,465962980,18377428,20230131
052400,17750,266249982250,89259,1588653920,14999999,20230131
162300,6600,265949296800,448413,2979074610,40295348,20230131
042420,30000,265705980000,31178,926520150,8856866,20230131
036800,26550,265500000000,8480,224214350,10000000,20230131
080420,3330,265473001260,40292,134133110,79721622,20230131
089600,25150,265080044300,57241,1429329200,10539962,20230131
043610,4550,264425242900,3983632,18332214815,58115438,20230131
254490,18310,264359780000,3934004,72122726980,14438000,20230131
086390,12470,263542551220,172326,2138717290,21134126,20230131
053300,6300,263190885300,1486973,9295774530,41776331,20230131
048870,3180,263012533920,105199,334633670,82708344,20230131
291230,6300,260259684300,5419396,34684127550,41311061,20230131
362320,12620,259357279800,1765117,22518021230,20551290,20230131
045100,14400,259200000000,20166,290087220,18000000,20230131
100790,5290,256461109690,2072993,11266117830,48480361,20230131
131370,4810,256214669230,675190,3237797515,53267083,20230131
042000,11300,254218337400,102274,1151742290,22497198,20230131
382900,29000,254069000000,157444,4570659650,8761000,20230131
321550,10570,253870027460,56010,593401220,24017978,20230131
018310,17200,252840000000,38550,657991370,14700000,20230131
033160,11580,252533038620,86962,999512080,21807689,20230131
335890,4340,252298712960,2643176,11337019500,58133344,20230131
047820,11560,250998835120,80030,918235280,21712702,20230131
073490,32950,250546725700,45422,1503279850,7603846,20230131
441270,7700,250488191800,115082,885042790,32530934,20230131
053610,22700,249700000000,8931,202007600,11000000,20230131
077360,5490,249449140980,198955,1082074430,45437002,20230131
207760,3320,247921780200,2330734,7695907270,74675235,20230131
190510,15330,247263456720,365216,5573939050,16129384,20230131
035080,15730,244248896320,47552,750405220,15527584,20230131
143160,22750,243797872500,17645,403486250,10716390,20230131
011040,7920,243688626720,42513,336631050,30768766,20230131
078160,14960,243312342240,34507,512703150,16264194,20230131
285490,22800,241128946800,15757,357359400,10575831,20230131
017890,11140,240688166400,141696,1567532560,21605760,20230131
293780,10780,240381775480,107281,1162017370,22298866,20230131
330860,19720,240269367400,37757,748954240,12184045,20230131
086980,3835,240216730000,164217,631087720,62638000,20230131
083790,3395,240184319970,87878,299168995,70746486,20230131
348340,23200,239784156800,5311496,125915413250,10335524,20230131
